model,dataset,rdbms,difficulty,n_queries,execution_accuracy_pct,ci95_low_pct,ci95_high_pct
gpt2xl,advising,mariadb,1,149,0.0,0.0,0.0
qwen,advising,mariadb,1,515,0.0,0.0,0.0
gpt2xl,advising,mariadb,2,92,0.0,0.0,0.0
qwen,advising,mariadb,2,283,0.0,0.0,0.0
gpt2xl,advising,mariadb,3,293,0.0,0.0,0.0
qwen,advising,mariadb,3,593,0.0,0.0,0.0
gpt2xl,advising,mariadb,4,291,0.0,0.0,0.0
qwen,advising,mariadb,4,688,0.0,0.0,0.0
gpt2xl,advising,mysql,1,149,0.0,0.0,0.0
gpt2xl,advising,mysql,2,92,0.0,0.0,0.0
gpt2xl,advising,mysql,3,293,0.0,0.0,0.0
qwen,advising,mysql,3,109,0.0,0.0,0.0
gpt2xl,advising,mysql,4,291,0.0,0.0,0.0
qwen,advising,mysql,4,219,5.936073,2.806427,9.065719
gpt2xl,atis,mariadb,4,422,0.0,0.0,0.0
qwen,atis,mariadb,4,1112,0.0,0.0,0.0
gpt2xl,atis,mysql,4,422,0.0,0.0,0.0
gpt2xl,imdb,mariadb,1,20,0.0,0.0,0.0
qwen,imdb,mariadb,1,20,90.0,76.85192,100.0
gpt2xl,imdb,mariadb,2,66,0.0,0.0,0.0
qwen,imdb,mariadb,2,67,11.940299,4.175774,19.704823
gpt2xl,imdb,mariadb,3,26,0.0,0.0,0.0
qwen,imdb,mariadb,3,27,0.0,0.0,0.0
gpt2xl,imdb,mariadb,4,15,0.0,0.0,0.0
qwen,imdb,mariadb,4,16,6.25,0.0,18.111011
gpt2xl,imdb,mysql,1,20,0.0,0.0,0.0
qwen,imdb,mysql,1,20,90.0,76.85192,100.0
gpt2xl,imdb,mysql,2,66,0.0,0.0,0.0
qwen,imdb,mysql,2,67,11.940299,4.175774,19.704823
gpt2xl,imdb,mysql,3,26,0.0,0.0,0.0
qwen,imdb,mysql,3,27,0.0,0.0,0.0
gpt2xl,imdb,mysql,4,6,0.0,0.0,0.0
qwen,imdb,mysql,4,9,0.0,0.0,0.0
gpt2xl,yelp,mariadb,1,8,0.0,0.0,0.0
qwen,yelp,mariadb,1,8,25.0,0.0,55.006249
gpt2xl,yelp,mariadb,2,50,0.0,0.0,0.0
qwen,yelp,mariadb,2,51,11.764706,2.922051,20.607361
gpt2xl,yelp,mariadb,3,49,0.0,0.0,0.0
qwen,yelp,mariadb,3,51,0.0,0.0,0.0
gpt2xl,yelp,mariadb,4,17,0.0,0.0,0.0
qwen,yelp,mariadb,4,18,55.555556,32.599762,78.511349
gpt2xl,yelp,mysql,1,8,0.0,0.0,0.0
qwen,yelp,mysql,1,8,25.0,0.0,55.006249
gpt2xl,yelp,mysql,2,50,0.0,0.0,0.0
qwen,yelp,mysql,2,51,17.647059,7.184288,28.10983
gpt2xl,yelp,mysql,3,49,0.0,0.0,0.0
qwen,yelp,mysql,3,51,0.0,0.0,0.0
gpt2xl,yelp,mysql,4,17,0.0,0.0,0.0
qwen,yelp,mysql,4,18,50.0,26.901178,73.098822
