model,dataset,rdbms,schema_columns_bin,n_queries,execution_accuracy_pct
gpt2xl,advising,mariadb,1–10,1,0.0
qwen,advising,mariadb,1–10,2079,0.0
gpt2xl,advising,mariadb,11–20,44,0.0
qwen,advising,mariadb,11–20,0,
gpt2xl,advising,mariadb,21–40,239,0.0
qwen,advising,mariadb,21–40,0,
gpt2xl,advising,mariadb,41+,541,0.0
qwen,advising,mariadb,41+,0,
gpt2xl,advising,mysql,1–10,1,0.0
qwen,advising,mysql,1–10,1,0.0
gpt2xl,advising,mysql,11–20,44,0.0
qwen,advising,mysql,11–20,55,3.636364
gpt2xl,advising,mysql,21–40,239,0.0
qwen,advising,mysql,21–40,293,0.341297
gpt2xl,advising,mysql,41+,541,0.0
qwen,advising,mysql,41+,709,1.551481
gpt2xl,atis,mariadb,1–10,0,
qwen,atis,mariadb,1–10,0,
gpt2xl,atis,mariadb,11–20,4,0.0
qwen,atis,mariadb,11–20,0,
gpt2xl,atis,mariadb,21–40,131,0.0
qwen,atis,mariadb,21–40,0,
gpt2xl,atis,mariadb,41+,287,0.0
qwen,atis,mariadb,41+,1112,0.0
gpt2xl,atis,mysql,1–10,0,
qwen,atis,mysql,1–10,0,
gpt2xl,atis,mysql,11–20,4,0.0
qwen,atis,mysql,11–20,0,
gpt2xl,atis,mysql,21–40,131,0.0
qwen,atis,mysql,21–40,0,
gpt2xl,atis,mysql,41+,287,0.0
qwen,atis,mysql,41+,1550,0.903226
gpt2xl,imdb,mariadb,1–10,0,
qwen,imdb,mariadb,1–10,0,
gpt2xl,imdb,mariadb,11–20,78,0.0
qwen,imdb,mariadb,11–20,81,12.345679
gpt2xl,imdb,mariadb,21–40,49,0.0
qwen,imdb,mariadb,21–40,49,34.693878
gpt2xl,imdb,mariadb,41+,0,
qwen,imdb,mariadb,41+,0,
gpt2xl,imdb,mysql,1–10,0,
qwen,imdb,mysql,1–10,0,
gpt2xl,imdb,mysql,11–20,74,0.0
qwen,imdb,mysql,11–20,88,11.363636
gpt2xl,imdb,mysql,21–40,44,0.0
qwen,imdb,mysql,21–40,35,45.714286
gpt2xl,imdb,mysql,41+,0,
qwen,imdb,mysql,41+,0,
gpt2xl,yelp,mariadb,1–10,0,
qwen,yelp,mariadb,1–10,0,
gpt2xl,yelp,mariadb,11–20,27,0.0
qwen,yelp,mariadb,11–20,28,7.142857
gpt2xl,yelp,mariadb,21–40,97,0.0
qwen,yelp,mariadb,21–40,100,16.0
gpt2xl,yelp,mariadb,41+,0,
qwen,yelp,mariadb,41+,0,
gpt2xl,yelp,mysql,1–10,0,
qwen,yelp,mysql,1–10,0,
gpt2xl,yelp,mysql,11–20,27,0.0
qwen,yelp,mysql,11–20,28,7.142857
gpt2xl,yelp,mysql,21–40,97,0.0
qwen,yelp,mysql,21–40,100,18.0
gpt2xl,yelp,mysql,41+,0,
qwen,yelp,mysql,41+,0,
