model,dataset,rdbms,n_queries,execution_accuracy_pct,pred_success_rate_pct,valid_sql_rate_pct,successful_execution_rate_pct,gold_success_rate_pct,has_repairs_rate_pct,avg_gen_time_s,median_gen_time_s,avg_prompt_tokens,avg_pred_execution_time_s,avg_gold_execution_time_s,avg_schema_num_tables,avg_schema_num_columns
gpt2xl,advising,mariadb,825,0.0,0.0,0.0,0.0,100.0,0.727273,74.908693,50.400466,344.8,0.048284,0.161812,4.0,44.82
qwen,advising,mariadb,2079,0.0,1.106301,1.106301,1.106301,0.0,0.0,15.616572,12.910255,76.51,0.01765,0.001371,0.0,0.0
gpt2xl,advising,mysql,825,0.0,0.0,0.0,0.0,98.060606,0.727273,74.923446,50.400466,344.8,0.075915,0.105362,4.0,44.82
qwen,advising,mysql,1058,1.323251,38.752363,38.752363,38.752363,96.975425,19.092628,115.194779,107.61335,277.15,0.064016,0.023265,4.0,44.74
gpt2xl,atis,mariadb,422,0.0,0.0,0.0,0.0,100.0,1.184834,43.368398,31.801064,469.47,0.027268,0.00762,14.76,76.1
qwen,atis,mariadb,1112,0.0,25.269784,25.269784,25.269784,100.0,34.982014,66.88426,37.04532,465.97,8.354083,0.006541,20.0,99.07
gpt2xl,atis,mysql,422,0.0,0.0,0.0,0.0,100.0,1.184834,43.324545,31.801064,469.45,0.028077,0.009922,14.76,76.1
qwen,atis,mysql,1550,0.903226,29.032258,29.032258,29.032258,100.0,26.645161,67.004426,36.602166,473.12,0.02749,0.007048,20.0,101.36
gpt2xl,imdb,mariadb,127,0.0,0.787402,0.787402,0.787402,80.314961,13.385827,93.852185,97.169815,148.03,0.597372,9.711066,4.0,19.33
qwen,imdb,mariadb,130,20.769231,45.384615,45.384615,45.384615,86.153846,0.769231,38.374748,36.155031,137.17,6.787421,15.58832,4.0,19.22
gpt2xl,imdb,mysql,118,0.0,3.389831,3.389831,3.389831,100.0,11.016949,183.303955,203.76626,148.13,1.633208,425.265995,4.0,19.41
qwen,imdb,mysql,123,21.138211,53.658537,53.658537,53.658537,95.121951,0.813008,37.501055,35.023657,136.83,8.419877,18.776587,4.0,18.85
gpt2xl,yelp,mariadb,124,0.0,0.0,0.0,0.0,84.677419,8.064516,72.332143,78.048142,158.99,0.019848,22.047738,4.0,23.35
qwen,yelp,mariadb,128,14.0625,52.34375,52.34375,52.34375,82.8125,2.34375,30.235553,28.706242,144.48,12.585998,13.515335,4.0,23.33
gpt2xl,yelp,mysql,124,0.0,0.0,0.0,0.0,98.387097,8.064516,72.332143,78.048142,158.99,0.033465,5.183649,4.0,23.35
qwen,yelp,mysql,128,15.625,54.6875,54.6875,54.6875,85.9375,2.34375,30.235553,28.706242,144.48,14.59722,16.797982,4.0,23.33
