model,dataset,rdbms,n,pearson_corr_prompt_tokens_vs_gen_time,mean_prompt_tokens,median_prompt_tokens,mean_gen_time_s,median_gen_time_s
qwen,advising,mariadb,2079,0.2865,76.51,76.0,15.616572,12.910255
gpt2xl,advising,mariadb,825,0.0659,344.8,346.0,74.908693,50.400466
gpt2xl,advising,mysql,825,0.0658,344.8,346.0,74.923446,50.400466
qwen,advising,mysql,1058,-0.0893,277.15,274.5,115.194779,107.61335
gpt2xl,atis,mariadb,422,0.462,469.47,553.0,43.368398,31.801064
qwen,atis,mariadb,1112,0.0055,465.97,466.0,66.88426,37.04532
gpt2xl,atis,mysql,422,0.4616,469.45,553.0,43.324545,31.801064
qwen,atis,mysql,1550,-0.0028,473.12,471.0,67.004426,36.602166
gpt2xl,imdb,mariadb,127,0.3509,148.03,147.0,93.852185,97.169815
qwen,imdb,mariadb,130,-0.2855,137.17,136.0,38.374748,36.155031
gpt2xl,imdb,mysql,118,0.2998,148.13,147.0,183.303955,203.76626
qwen,imdb,mysql,123,-0.2353,136.83,135.0,37.501055,35.023657
gpt2xl,yelp,mariadb,124,0.0335,158.99,161.0,72.332143,78.048142
qwen,yelp,mariadb,128,-0.0206,144.48,146.0,30.235553,28.706242
gpt2xl,yelp,mysql,124,0.0335,158.99,161.0,72.332143,78.048142
qwen,yelp,mysql,128,-0.0206,144.48,146.0,30.235553,28.706242
